x,y,z,category,size
-27.3,17.05,90.6,E,2
80.82,-35.72,-70.95,D,3
-12.51,-9.71,98.91,B,5
4.46,-32.08,4.44,D,1
75.87,-67.62,-36.41,B,3
68.17,7.15,99.56,A,1
-9.82,-32.67,-86.78,B,1
21.99,49.06,73.35,B,3
-40.95,85.88,80.03,A,4
-78.26,-12.17,-52.08,B,3
95.23,64.31,-31.51,C,5
96.38,92.79,4.83,D,1
24.69,41.34,-16.67,D,2
53.66,47.45,31.45,B,1
-72.89,-67.62,54.2,D,4
16.93,74.28,-91.34,D,4
-33.98,79.15,-19.78,B,3
24.41,-26.69,11.92,A,4
46.72,-40.53,-45.32,D,1
73.93,-95.33,-80.49,A,3
-33.78,88.78,-50.31,C,4
53.37,-9.56,-89.38,C,2
-8.12,0.11,40.72,C,2
-83.36,32.2,45.15,B,5
-18.56,52.85,24.01,B,2
83.91,94.0,97.25,A,1
-54.93,14.45,99.72,C,5
31.11,43.32,-97.54,C,3
56.36,31.25,94.53,E,4
-55.84,-26.21,14.92,E,2
37.88,-94.21,0.47,C,2
-85.24,-93.54,-89.43,E,4
-66.34,-82.56,84.54,B,1
-85.57,-20.79,-54.74,D,5
-17.52,64.63,76.73,E,3
-98.86,0.66,30.4,D,1
20.82,-47.31,-1.45,D,1
20.71,-90.17,13.45,A,2
-39.8,-39.83,-58.7,A,3
25.72,54.59,79.27,C,2
23.58,-32.28,85.64,B,4
9.54,89.18,-56.05,D,2
21.0,47.04,78.1,D,1
-43.48,27.0,86.87,A,3
-87.7,-64.93,88.33,B,4
20.38,-77.18,-72.83,E,5
-62.8,15.04,-98.09,C,1
-90.21,-73.72,-53.5,E,4
81.27,86.03,16.2,B,4
22.33,59.83,-87.17,A,5
25.82,41.34,96.6,A,5
-35.88,-22.26,-53.81,B,1
-61.26,-85.9,-80.53,A,1
92.15,99.27,-38.54,E,4
77.56,16.69,68.73,E,5
44.9,58.06,5.31,A,3
18.26,-27.15,19.09,C,3
-89.5,-1.18,30.55,E,4
71.13,13.48,-3.66,D,4
-38.39,-1.15,-68.58,A,4
63.51,-9.47,32.14,E,5
11.63,8.07,-30.55,D,3
-64.62,-31.05,-89.94,C,2
-32.12,85.04,35.93,B,5
44.22,-21.66,46.45,A,2
-96.29,67.66,27.33,D,1
39.57,7.91,-81.65,A,5
12.5,-12.8,12.68,A,5
90.45,61.41,-5.59,C,5
-81.46,51.75,-85.18,C,2
11.96,97.56,-2.09,C,2
4.3,12.44,-77.4,E,2
33.3,45.61,-20.06,E,3
97.6,82.48,94.81,E,3
-80.34,60.44,41.52,D,5
-17.48,91.67,-25.41,E,2
-27.38,39.66,67.49,D,5
-70.08,-89.34,-36.57,D,1
-18.6,-23.74,-40.46,E,2
78.26,-39.08,78.76,C,1
-74.13,-61.67,-69.82,E,4
-9.02,-84.52,-60.07,C,3
-71.0,56.0,21.86,D,4
35.11,-14.96,34.26,A,1
-67.02,60.93,20.15,D,4
40.88,1.06,47.73,A,5
88.02,49.99,3.91,D,2
82.82,-35.98,81.78,B,4
-99.97,-96.92,48.2,E,2
62.31,-35.56,-5.03,B,2
64.55,12.45,70.62,C,1
-66.73,-27.13,-99.67,D,4
35.45,19.38,-53.83,E,5
-33.57,-71.4,-32.48,D,3
-10.53,34.64,-20.89,D,5
-53.53,-19.87,-23.05,B,4
54.09,-23.7,70.77,A,4
21.34,-59.98,77.69,C,3
-50.39,72.07,27.22,A,4
-12.85,-56.91,88.7,D,1
41.87,-81.96,52.7,E,5
53.54,31.85,-57.2,A,1
-12.63,21.25,-30.66,A,2
66.14,10.48,-16.01,E,3
-70.97,86.44,-78.61,D,5
94.65,-89.84,-21.12,C,2
80.65,-26.59,-19.72,E,3
-83.87,-62.07,98.61,D,3
79.22,-86.86,-85.82,C,4
81.02,33.95,23.72,E,4
82.05,-37.11,90.42,C,1
26.56,-35.97,4.57,E,1
74.69,40.26,74.66,E,3
24.62,91.53,3.75,B,2
52.24,33.74,3.19,D,2
-99.05,-44.17,90.05,B,2
-14.35,7.01,-40.37,D,2
-33.29,5.46,-98.96,C,3
48.94,-59.61,-88.82,C,5
51.52,48.77,-82.15,C,5
73.06,60.09,-78.59,D,1
69.75,-29.56,-35.69,A,5
15.57,-10.98,-56.99,A,3
42.19,6.46,33.35,C,5
-59.49,-15.74,-22.64,C,4
-84.31,32.82,-4.98,D,3
-9.49,48.37,-42.46,B,4
-47.95,-89.61,37.48,C,3
23.62,-63.37,-33.02,A,4
-32.39,8.94,88.63,B,2
42.2,-33.23,23.86,E,1
-44.34,67.97,26.21,B,2
-52.89,83.06,88.62,E,3
-19.14,51.61,-30.33,C,3
-12.13,0.39,-2.5,B,4
50.49,4.53,-94.06,D,3
-92.85,96.4,45.09,A,5
-80.69,-89.62,-52.24,C,3
-65.1,-29.49,-47.82,D,4
27.49,-20.95,66.98,B,2
-89.18,-36.87,6.86,B,4
86.78,-58.36,88.32,E,4
91.43,-98.84,-84.23,D,4
47.73,-19.09,-8.1,A,4
98.16,32.56,-2.82,C,2
-27.03,80.1,-78.69,A,4
-20.15,-83.78,-55.41,E,1
80.38,15.43,-48.75,C,1
-94.1,-13.62,-9.97,A,1
39.98,-1.85,-35.93,E,3
97.62,51.45,-97.94,A,2
70.69,95.91,-71.83,B,1
99.68,75.21,86.14,A,2
-65.81,-83.52,-48.19,E,3
35.46,38.87,-57.51,E,2
-42.43,97.41,-93.47,B,5
-66.44,32.46,24.74,D,5
10.5,-52.72,86.77,C,4
-18.78,-37.53,-89.35,C,3
8.2,28.34,41.49,E,2
48.9,-17.53,97.08,B,3
52.41,99.78,-68.48,E,4
50.22,0.42,37.01,E,5
22.66,-68.57,58.92,E,5
-82.33,-59.33,27.51,C,1
88.61,-48.79,87.74,D,1
72.47,-56.9,34.8,D,2
-39.9,-35.55,-96.46,D,4
-14.08,18.07,87.63,A,3
25.32,-16.48,26.59,D,5
44.25,-52.8,55.42,E,1
4.06,-48.12,-45.49,B,4
88.83,-65.92,-14.12,E,2
17.35,-10.07,-3.39,E,1
-80.0,-50.06,-32.69,C,3
-73.43,-33.32,-5.95,E,5
-69.58,-8.22,59.92,C,2
-88.77,-28.4,77.7,D,5
-75.42,-13.18,-28.34,C,2
-79.67,19.53,-97.85,C,5
74.02,-38.85,21.12,B,3
80.43,-56.83,-19.59,D,5
-89.37,32.65,-70.78,E,5
-21.44,58.91,-70.76,A,2
48.19,42.8,-89.84,B,3
15.74,54.69,-27.57,A,5
-17.82,-55.09,5.6,C,3
8.86,-2.64,-42.28,D,3
-79.23,-6.59,-28.24,A,3
52.88,66.91,9.66,C,1
62.85,-48.07,-30.49,B,1
-42.81,-56.29,63.14,C,1
-22.06,-35.03,-40.69,E,2
68.99,65.7,-9.19,A,2
80.81,-13.72,75.41,D,1
-11.51,-50.76,7.98,C,3
90.83,-0.54,-3.1,D,2
-84.08,62.47,49.81,E,3
2.82,5.6,-22.4,C,5
95.35,12.92,-52.59,E,5
84.22,65.82,42.07,C,1
-35.13,58.33,-31.81,D,2
-79.23,49.7,95.57,D,2
-13.83,89.85,-92.03,E,3
84.86,95.65,-1.46,D,2
-10.11,76.59,60.69,C,2
-42.86,7.09,70.67,E,3
-42.32,85.16,-20.82,A,1
-20.89,-86.86,43.61,A,4
-23.88,-76.43,63.49,B,1
-64.91,81.15,91.83,E,5
-64.7,-36.79,16.68,B,4
-75.34,-26.34,-32.45,C,4
-12.0,97.32,-93.74,C,5
-59.52,-42.95,88.08,C,5
-40.41,89.98,-92.19,A,4
-41.36,32.63,74.59,D,4
20.52,-68.95,53.04,E,1
-49.08,-66.67,36.97,C,1
83.74,-67.32,37.07,A,1
17.2,6.31,67.82,E,3
68.35,38.97,-81.11,E,1
88.3,43.81,60.45,A,1
-37.87,-94.62,96.66,A,2
74.98,-84.31,-38.47,B,5
-23.0,-50.11,-28.64,D,2
96.15,75.34,33.7,D,3
-87.14,39.5,59.63,C,5
-99.07,-17.39,-27.9,B,5
-96.1,14.96,-4.05,D,1
-74.73,57.05,-8.64,D,4
-80.09,-28.04,-71.97,D,4
-18.69,-27.87,88.52,E,5
93.97,96.24,78.19,C,3
81.03,-11.4,33.93,C,3
4.13,-48.08,96.76,D,3
65.44,-97.11,-23.84,C,1
98.01,-31.82,-39.81,A,4
-99.57,-27.26,-75.68,C,1
-65.92,-30.15,-34.4,A,1
-24.03,-32.48,-48.9,C,2
81.07,-47.51,-6.34,E,3
31.82,-71.67,62.52,C,5
64.92,-31.39,-60.4,A,1
-63.85,-32.98,-77.06,D,2
91.77,52.42,-72.05,D,1
-22.86,67.49,-38.33,D,1
29.69,-45.2,92.52,E,5
20.12,-14.28,-20.12,E,4
33.57,-96.89,-8.42,E,4
-62.2,-35.71,-94.46,D,4
85.77,73.25,-65.09,D,1
16.62,84.06,-52.72,B,4
-17.36,-5.94,-10.97,D,4
98.33,-71.79,56.67,C,2
39.71,-51.36,-95.31,E,5
62.16,-0.69,-27.73,A,3
0.82,-56.48,-18.73,A,1
-58.34,-73.3,97.47,C,5
74.73,91.26,-80.28,C,3
-75.18,-89.25,91.78,D,2
-14.51,-24.97,-7.11,A,1
-44.74,85.27,66.33,C,3
34.55,84.6,-42.01,D,4
67.03,34.69,-5.64,B,2
75.89,10.3,-23.42,D,4
-4.3,-20.18,77.28,D,4
35.41,47.29,-43.22,B,2
84.16,35.95,-55.83,B,1
-78.69,-1.33,-13.36,A,4
-92.85,36.89,-76.08,C,4
65.19,33.66,-78.21,E,2
-62.34,18.51,-45.01,B,2
-41.81,-8.35,-73.29,B,3
62.54,-11.8,22.13,A,1
-45.11,-55.69,99.94,B,5
53.2,-90.04,74.56,A,2
98.67,-37.13,43.53,E,2
-78.26,7.01,-44.87,B,2
20.42,60.69,-35.0,C,1
-35.72,6.43,64.86,C,2
5.55,-19.59,32.71,B,1
85.33,52.31,34.45,D,5
42.08,52.74,-94.76,B,4
-22.26,-74.14,-94.4,B,5
3.69,99.69,-23.57,D,4
18.69,-27.08,85.08,E,4
12.43,-7.35,-9.43,A,1
-62.83,-89.07,-44.0,D,3
-27.91,-8.41,-55.32,B,2
-96.88,66.19,57.24,C,1
4.18,95.7,37.12,B,2
-36.97,94.4,-41.6,E,4
-19.24,42.75,-60.48,B,2
81.74,-54.54,-28.35,D,4
54.29,-39.71,18.72,E,3
-8.9,74.63,47.89,E,3
-88.8,-17.05,22.41,E,3
46.42,-17.27,70.03,D,5
-75.52,-8.4,-43.1,D,3
42.42,-85.26,-66.65,C,4
-73.53,-19.4,-81.41,E,3
69.11,-40.13,61.51,C,1
-76.61,30.5,-4.59,B,1
-47.58,2.33,12.75,E,1
-37.3,-39.43,-45.89,B,1
2.73,40.1,-68.57,E,2
76.41,-49.33,25.94,A,5
31.61,-90.34,-11.66,E,5
47.55,18.63,-61.6,A,1
75.43,-45.93,-53.47,B,3
8.07,80.91,79.36,C,5
41.82,9.93,-87.01,E,3
-20.96,50.18,82.99,E,4
93.7,-37.25,-62.93,E,4
27.04,69.35,73.91,D,2
61.72,-27.25,56.64,A,3
5.05,-86.31,21.75,D,3
55.56,31.43,-33.29,A,1
-94.95,81.17,15.85,E,4
-68.85,51.71,-79.14,A,4
91.93,-29.06,-51.23,C,1
-54.86,-75.45,18.3,D,2
43.08,-16.64,28.06,E,4
-93.69,-88.26,38.55,E,2
-93.17,4.54,73.09,C,1
-97.79,-38.33,-46.82,C,1
-9.28,-38.24,-48.25,C,5
59.26,57.04,36.53,C,2
-61.34,86.89,70.0,A,1
6.99,-41.19,-78.56,C,1
-78.15,83.12,54.5,D,4
2.84,87.51,-14.86,E,5
88.83,62.04,-61.58,A,2
-91.64,72.09,77.82,B,4
64.3,78.85,84.04,C,5
97.88,-79.16,-60.91,A,1
6.59,-99.23,-69.36,A,3
42.68,-64.07,-99.42,E,4
-3.39,84.07,84.61,D,1
-32.17,17.81,-72.1,E,4
78.13,52.03,91.03,A,1
69.71,64.93,97.77,A,3
86.41,-1.78,-54.53,D,1
-14.99,-62.98,38.06,E,1
58.74,19.96,-30.36,D,1
44.84,-69.3,49.24,D,3
66.21,97.87,-30.85,A,5
-12.36,83.52,-94.15,C,3
-41.34,71.45,-38.19,D,1
26.9,-27.87,-29.36,C,3
-65.26,57.69,23.11,D,2
-49.86,-22.77,84.17,C,3
-96.72,-70.63,-2.69,B,5
36.69,33.87,5.39,C,1
58.06,62.33,-64.89,D,4
73.57,70.28,74.31,A,1
93.97,-34.81,59.63,B,3
-17.98,-18.38,96.88,D,5
51.66,-2.1,-37.91,B,2
18.84,-34.35,78.32,B,4
64.59,64.79,94.7,D,5
-42.99,20.52,40.38,C,3
-53.71,-30.53,-4.3,C,1
-38.06,-76.97,-79.89,B,4
-5.01,23.13,-87.04,A,2
80.71,-30.16,-78.74,B,3
77.03,93.51,-13.87,C,2
-42.51,10.98,23.38,D,1
61.6,-91.7,-55.48,C,5
89.03,27.41,-32.61,B,5
81.03,-16.86,-56.52,E,2
31.5,-14.71,-64.19,E,4
39.68,-58.53,72.75,A,2
80.82,-35.62,-84.67,E,3
-54.17,37.7,-93.77,A,4
-80.85,32.59,52.93,E,4
68.75,-4.37,-94.84,B,5
57.06,-52.11,73.58,A,1
17.0,24.34,-26.12,D,1
34.14,-95.14,40.12,B,1
-7.29,21.99,47.5,C,2
-10.4,-45.38,70.15,D,5
-41.69,33.48,-0.93,A,1
-66.06,-25.03,-23.86,E,2
79.31,-68.27,28.16,C,4
39.66,-52.74,-13.59,E,5
24.28,-10.4,37.13,C,4
-82.05,35.04,-81.4,C,1
-71.78,-51.74,51.77,B,5
93.11,-41.39,57.67,A,1
48.11,-70.79,12.13,C,3
-60.73,-99.13,-97.12,B,3
33.63,-56.57,90.83,D,5
80.39,-44.88,18.78,C,4
61.48,-29.23,-67.43,C,5
63.4,-74.33,-9.82,A,3
-94.93,69.0,-65.64,C,3
72.26,40.94,-37.93,E,3
-74.19,34.28,-31.49,C,1
73.11,-97.8,52.47,E,1
83.23,-47.75,-77.57,B,2
-18.0,96.37,-30.28,A,4
-78.94,-59.0,-84.92,A,4
28.73,-35.23,-81.99,A,2
-44.61,-90.97,87.36,E,3
35.01,-89.41,-91.69,B,1
39.93,-78.44,73.31,A,3
-44.94,70.47,93.18,C,5
85.7,-34.5,-21.95,C,5
21.11,-7.76,99.19,E,3
1.71,-46.59,49.28,A,4
77.43,-51.18,-15.53,D,4
-76.39,2.46,-30.03,E,2
-7.34,-5.49,18.04,E,1
-34.44,-30.04,58.52,B,1
-59.15,64.5,60.0,E,5
94.41,-76.28,-17.31,E,2
61.68,81.03,-70.14,C,5
-11.96,15.79,98.15,E,4
48.61,-52.99,-52.78,C,2
-95.03,11.25,-35.22,D,1
64.91,28.48,28.48,B,1
9.12,-7.84,-0.27,E,5
23.74,69.05,16.09,E,5
5.23,74.27,64.94,A,2
93.84,46.34,42.05,D,3
-66.92,-12.74,-32.25,A,2
-20.31,-96.07,95.53,B,1
-80.51,44.75,-14.72,E,3
4.1,26.72,-78.12,B,3
59.3,93.65,95.96,E,5
27.19,-24.15,-40.99,E,4
9.14,-60.78,67.17,A,4
49.51,41.79,93.35,B,1
-26.15,95.04,16.32,E,2
12.97,-2.16,-39.06,D,4
17.01,-68.02,-90.43,A,3
-4.76,-55.44,60.87,D,1
84.03,27.94,-1.31,E,5
-63.55,-4.46,-17.48,D,2
51.81,-46.31,54.18,E,4
71.32,51.27,18.51,A,4
50.23,-95.25,-0.47,D,1
-35.17,6.49,-70.85,A,4
-33.24,-49.47,13.78,E,2
97.46,2.33,51.78,D,4
-67.25,-54.15,-93.56,A,1
-53.27,38.78,-85.4,B,5
-47.7,71.31,60.47,D,3
66.37,61.02,-51.21,B,2
-35.3,-59.11,-13.09,A,1
-2.18,-99.35,89.53,C,3
-78.99,92.86,-97.65,D,3
-41.82,-85.5,-85.95,E,1
70.99,-75.43,-49.15,E,5
-93.41,-59.65,-60.68,A,1
-60.96,72.84,-42.31,E,4
99.03,-97.36,-67.65,D,5
-16.08,-51.93,1.0,B,3
7.3,-41.26,83.01,E,5
49.71,-71.7,45.38,D,1
-13.91,88.38,7.68,D,4
11.3,-41.67,28.93,E,1
74.48,-57.42,84.02,D,3
-90.8,-82.97,-84.95,E,5
-68.25,-86.71,-31.7,A,3
75.74,10.62,-44.16,A,4
30.65,-92.02,-9.18,D,5
85.48,-22.35,-64.98,C,2
-36.17,-63.63,92.64,A,5
82.11,36.66,-87.33,C,4
-53.24,-89.2,80.28,C,2
-60.67,68.3,-49.87,C,2
-74.95,-34.9,-44.47,D,1
28.28,68.16,43.86,E,3
-70.98,77.44,-42.8,A,1
76.78,-70.67,-52.23,B,2
37.61,24.01,-32.08,E,3
-87.29,-13.04,-45.2,D,5
86.38,-97.14,55.68,D,2
-85.88,-91.68,-46.27,D,5
-43.51,-22.68,56.88,C,1
-8.61,-88.1,-64.19,A,5
-25.64,-16.22,47.59,D,5
-7.35,38.98,72.8,B,1
4.75,-69.11,-87.04,D,2
9.25,85.69,-12.42,A,4
-5.35,-7.59,95.94,E,3
72.2,95.36,18.76,B,4
-85.32,-83.12,-78.32,C,1
77.13,35.62,-21.48,E,1
46.78,-89.05,-47.24,A,2
-91.25,-68.96,55.23,B,2
43.84,-4.58,-62.72,E,1
-56.57,-99.12,-59.62,C,1
58.78,-7.28,-92.53,E,5
-49.66,84.32,40.45,A,5
65.74,49.48,42.4,E,4
24.83,68.75,-23.97,D,3
-14.3,64.59,-13.21,E,2
-9.81,-0.0,-90.43,E,2
21.61,46.73,78.21,C,3
45.45,-98.33,51.31,C,5
42.7,11.11,86.98,E,4
81.97,-85.57,-27.33,C,3
-27.43,75.89,-92.55,D,5
95.74,3.7,-68.76,B,3
85.69,-15.2,-59.06,D,5
8.7,29.31,-81.74,E,3
-6.23,11.67,87.53,C,1
-38.45,2.28,-27.93,E,5
55.77,81.18,64.19,C,1
-90.34,47.2,-61.14,E,2
-61.94,-13.81,-3.58,E,2
-21.9,60.76,7.77,C,4
71.82,77.15,39.52,B,3
-2.65,-49.16,-9.44,A,3
73.86,-78.4,87.94,E,3
14.54,-65.83,-53.07,C,1
4.0,-89.58,30.51,B,4
-10.66,11.24,-13.58,B,3
12.92,26.3,-35.0,B,5
-7.92,-32.06,23.2,E,1
-91.61,-59.38,-42.15,C,3
-60.45,-91.41,-31.12,B,5
60.79,59.87,90.84,E,3
88.72,77.08,5.88,B,2
39.91,82.47,6.19,A,4
-57.29,-57.67,-83.48,A,2
3.63,-34.88,7.0,B,1
26.0,-56.15,-95.89,C,5
-54.87,-27.38,22.65,A,4
61.49,85.23,29.65,B,2
-37.83,65.12,98.16,E,2
15.34,-56.95,75.27,C,2
-95.32,58.34,-2.21,B,4
22.63,-24.12,-40.46,D,3
65.79,-12.12,9.2,B,2
8.79,18.01,62.34,A,1
76.48,-53.11,87.52,A,1
-18.53,-7.3,13.62,B,1
73.25,-7.02,-63.28,B,2
-90.51,70.06,87.96,A,2
-1.54,-83.44,20.54,D,2
55.67,-83.53,67.99,B,5
-23.65,-35.99,-67.63,A,1
-46.71,-52.71,26.89,E,1
-58.57,-38.67,94.38,D,4
79.67,14.25,31.23,D,1
-83.56,-22.94,-69.16,A,5
-10.32,86.45,-27.3,B,1
34.64,-44.87,69.3,A,5
-13.65,-49.64,22.22,A,3
16.2,-26.2,6.96,B,5
5.07,51.73,40.3,D,2
-88.47,49.97,-29.28,E,1
29.48,80.8,14.78,E,3
98.24,-40.15,-51.62,C,1
0.37,25.5,81.49,C,5
-53.89,-28.27,36.64,C,4
48.56,-76.61,11.38,A,2
-64.97,87.38,73.7,C,5
-62.53,37.65,59.58,E,1
40.6,24.32,61.22,A,5
25.97,-9.28,53.02,A,4
63.46,-45.19,14.27,A,5
48.8,-75.71,-58.33,C,1
63.59,45.66,-11.81,B,1
65.33,36.66,-62.74,D,4
81.98,-42.78,81.23,E,1
-10.74,-88.56,91.69,E,3
-38.76,-53.61,-1.49,E,5
-22.83,-15.28,11.15,B,3
-47.5,-4.19,-45.99,D,1
37.53,-53.62,12.13,C,2
-2.85,-59.36,-12.64,B,4
4.83,43.15,93.11,C,2
-21.42,35.06,23.91,E,2
33.25,-48.69,-41.46,C,5
-91.34,3.11,68.06,D,1
73.74,26.46,55.26,D,2
-18.25,27.34,42.01,E,3
34.99,24.65,13.88,D,4
-93.36,-63.95,59.77,D,3
-85.73,97.86,20.23,E,4
50.25,-27.87,-80.84,D,3
-37.65,-71.31,37.04,A,3
-24.41,-84.27,-52.33,D,1
-43.05,62.66,61.03,A,5
45.32,73.18,5.89,E,5
-18.78,5.4,59.02,C,2
-69.61,-26.42,43.93,D,4
-91.23,27.02,-85.81,A,4
37.09,37.29,-97.07,A,3
93.35,39.82,-13.53,E,2
-54.29,-83.02,75.5,A,2
-36.38,53.88,-90.14,C,4
-45.83,73.97,69.63,B,3
-24.0,-23.04,56.17,C,4
67.87,-89.45,-32.79,E,4
28.08,-11.21,-82.42,D,4
-14.73,-24.04,-1.77,D,5
18.66,71.97,92.95,D,1
-15.97,-83.0,89.96,A,4
78.21,50.61,2.86,A,2
-95.15,39.07,86.13,D,2
20.23,-38.09,-68.17,B,1
0.23,1.45,0.34,E,5
86.19,-2.61,61.64,D,4
-84.44,77.38,-17.9,D,2
77.83,-38.94,88.9,A,2
49.79,92.21,-29.04,E,5
-15.07,-25.95,-1.66,C,4
23.31,-61.34,-63.14,A,3
-67.62,-51.48,-90.43,D,4
48.58,46.82,95.06,C,3
5.88,-69.29,-56.3,D,5
97.03,-48.26,38.82,D,2
-78.09,-29.77,49.63,E,3
10.64,71.9,92.27,C,4
12.25,-31.55,-53.93,E,5
17.23,-89.1,-19.75,D,5
40.59,-94.65,-11.89,A,3
-55.06,-60.87,67.06,E,3
-92.08,-1.34,43.46,E,1
34.39,17.58,45.38,B,4
94.39,-1.6,-15.46,C,5
-48.44,-15.38,-53.94,E,2
43.39,-74.4,18.8,B,1
-22.82,-18.33,-52.52,B,5
-78.57,78.12,53.13,E,2
40.34,-57.87,-66.89,D,1
90.92,-5.69,16.8,B,4
60.72,39.89,-5.08,A,3
-91.81,63.32,95.83,E,1
79.97,-41.64,-52.44,E,4
19.34,-37.93,-68.31,A,3
-56.37,-62.23,-17.2,A,1
63.14,8.39,88.05,B,4
-87.9,3.43,-18.95,B,2
83.34,-80.19,-22.03,B,4
1.3,32.81,77.18,A,5
54.83,18.82,-80.65,A,3
8.06,71.67,48.95,B,1
95.15,-11.52,39.76,D,3
66.78,-0.0,42.77,D,5
-36.85,9.91,-2.87,D,4
-51.68,-61.26,-13.55,D,4
37.29,93.13,91.25,A,3
-83.49,38.48,33.83,B,2
79.84,67.96,32.06,E,4
-72.63,41.35,47.02,B,5
-59.65,-64.65,-67.19,A,5
28.74,-73.37,90.74,E,3
-92.61,66.72,73.55,A,2
60.03,-54.32,-16.94,E,1
44.88,-98.94,63.36,C,2
31.84,-73.86,65.85,D,5
89.97,-41.19,-29.35,D,5
-86.7,-87.37,65.82,D,4
-94.4,-18.89,30.74,D,3
75.18,-88.58,41.97,D,1
68.26,-97.46,37.27,B,5
98.89,46.44,70.4,D,2
43.69,64.25,14.86,A,2
92.34,-45.76,-99.46,C,2
96.34,-77.13,50.37,B,2
34.79,23.35,93.1,E,2
40.88,15.39,-9.68,A,1
-95.11,-71.44,99.57,B,3
29.52,75.4,-18.68,E,2
57.76,47.07,40.82,A,4
-57.83,-62.21,8.88,E,4
-38.17,80.04,29.66,C,2
-40.91,-33.89,-25.24,C,2
23.21,-81.37,-89.3,D,1
19.68,-73.75,-44.22,D,4
-20.62,-95.42,-17.32,C,5
72.66,-19.78,-41.94,A,1
79.78,76.7,-72.62,C,5
-37.88,99.62,20.88,A,5
0.14,3.85,23.64,A,4
39.09,71.02,40.09,A,2
44.56,23.43,47.47,D,5
40.72,-95.15,-23.89,E,5
-65.75,-0.83,99.18,A,4
-19.55,-56.55,-80.22,A,5
-75.39,35.09,-2.19,A,1
54.75,-31.67,-81.82,B,2
-36.57,53.1,99.04,E,4
9.59,-16.66,51.77,C,5
-7.4,28.08,40.76,E,4
3.06,-4.55,-33.72,C,5
-99.12,68.62,-53.64,E,2
18.63,-39.76,-75.6,A,4
14.49,-59.84,47.05,E,2
51.75,-66.48,-84.1,E,5
24.26,-75.3,-21.76,C,4
-70.36,26.89,-20.4,E,2
67.02,72.33,86.42,A,3
50.62,-69.11,-74.04,B,4
68.31,97.24,-29.57,A,4
80.19,93.96,-37.37,A,1
68.33,22.42,-41.04,E,3
-68.49,-20.43,94.21,D,5
-12.08,60.72,15.7,B,1
57.62,62.43,-66.86,A,4
61.89,-27.29,-67.33,B,3
42.35,-60.21,-98.43,C,5
5.06,58.99,72.07,E,4
-48.33,72.52,-49.36,B,5
-47.57,-60.64,-97.47,B,1
29.24,-79.79,41.76,D,3
38.33,-84.83,52.89,B,2
-30.32,46.77,4.09,E,4
12.97,69.05,6.45,A,1
-27.03,52.83,81.57,A,2
80.33,45.2,22.17,B,1
43.69,-81.91,-61.53,E,1
18.56,-22.59,-93.0,B,5
78.99,-40.66,-6.72,C,5
-57.59,-17.15,-20.07,C,1
36.59,-11.58,-20.18,B,1
-75.9,17.89,-5.18,D,2
-98.9,86.7,-49.81,C,5
-68.54,-26.5,-28.93,B,2
65.37,-3.71,0.68,A,1
38.04,15.09,-98.08,D,3
-80.22,87.23,26.56,E,4
-88.59,26.81,-44.51,C,3
30.99,90.18,-88.8,E,3
-10.48,-96.13,-47.97,A,3
-34.67,29.43,-97.52,C,3
-49.57,-2.67,17.52,C,4
81.08,29.45,-57.89,A,5
-85.73,2.32,14.37,E,2
-34.3,31.21,6.81,D,2
-89.16,72.89,-0.09,C,3
-66.69,-85.08,97.54,B,5
15.08,49.47,-96.08,B,4
-77.13,-9.23,-25.52,D,5
-23.0,-26.39,71.65,D,3
81.94,24.02,35.63,A,1
-62.55,-52.75,40.89,E,1
-93.36,-40.39,93.09,E,1
67.63,14.28,43.02,B,3
36.04,-18.84,-0.53,A,1
-10.15,92.68,3.3,D,4
-69.09,-61.1,17.67,D,1
54.44,-18.83,59.13,A,1
79.3,-45.73,36.34,C,4
-6.03,-64.05,52.33,C,5
-82.33,41.03,-56.98,A,3
-55.42,84.69,-51.26,A,1
-81.98,-12.16,10.05,A,4
-46.14,87.14,86.85,B,5
-60.42,-65.32,-72.29,C,4
52.22,53.76,32.35,C,5
71.13,-35.19,-74.89,B,3
50.02,67.2,15.81,B,2
11.47,99.52,-37.67,E,5
66.52,-7.32,52.86,E,2
50.14,-37.81,89.32,C,3
79.95,30.38,-28.83,B,3
-25.45,-76.11,-49.35,D,4
93.58,-4.61,-24.48,D,3
25.91,-28.85,-12.54,A,1
18.33,72.65,-41.15,C,2
54.58,32.93,-70.18,C,4
63.17,74.33,-49.46,C,2
68.4,17.88,10.63,B,1
-12.63,72.83,96.16,D,2
76.55,-13.51,4.76,B,5
60.34,93.33,31.79,D,1
6.7,48.37,-19.78,D,5
93.24,-52.22,-59.17,C,3
-82.18,-26.45,95.43,A,2
0.45,-34.68,93.81,C,1
-70.59,-83.83,63.32,D,2
-99.64,-22.82,-76.02,C,5
-37.57,99.32,49.44,D,4
18.68,-59.4,-17.51,D,2
-76.64,28.38,60.71,C,2
11.2,25.68,-13.24,B,3
42.52,21.36,42.83,D,1
4.85,-57.72,62.19,D,1
-91.24,44.06,-55.02,B,2
70.79,70.98,20.68,C,3
82.81,-9.38,-4.08,B,3
85.24,-86.24,85.0,C,1
66.72,-17.43,62.26,C,1
58.52,63.02,-20.77,A,2
20.49,-17.88,-6.73,B,2
-43.15,-13.42,6.92,E,5
-38.58,-5.82,-80.17,C,5
93.05,86.16,-25.49,D,2
-84.26,11.15,-62.33,B,1
44.33,90.46,20.33,A,2
